Well Row,,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,C,C,C,C,C,C,C,C,C,C,C,D,D,D,D,D,D,D,D,D,D,D,E,E,E,E,F,F,F,F,G,G,G,G,H,H,H,H
Well Col,,1,2,3,5,6,7,8,9,10,11,12,1,2,3,5,6,7,8,9,10,11,12,1,2,3,5,6,7,8,9,10,11,12,1,2,3,5,6,7,8,9,10,11,12,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
Content,Time [min],Sample X1,Sample X2,Sample X3,Sample X5,Sample X6,Sample X7,Sample X8,Sample X9,Sample X10,Sample X11,Sample X12,Sample X1,Sample X2,Sample X3,Sample X5,Sample X6,Sample X7,Sample X8,Sample X9,Sample X10,Sample X11,Sample X12,Sample X1,Sample X2,Sample X3,Sample X5,Sample X6,Sample X7,Sample X8,Sample X9,Sample X10,Sample X11,Sample X12,Sample X1,Sample X2,Sample X3,Sample X5,Sample X6,Sample X7,Sample X8,Sample X9,Sample X10,Sample X11,Sample X12,Sample X13,Sample X14,Sample X15,Blank B,Sample X13,Sample X14,Sample X15,Blank B,Sample X13,Sample X14,Sample X15,Blank B,Sample X13,Sample X14,Sample X15,Blank B
Group,,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,C,C,C,C,C,C,C,C,C,C,C,D,D,D,D,D,D,D,D,D,D,D,A,A,A,A,B,B,B,B,C,C,C,C,D,D,D,D
Blank corrected based on Raw Data (400/520 1),47.25,-3373,-5604,4961,-16026,-12651,41826,-9670,-16607,-20836,-12664,-27011,2245,10285,5493,4318,4967,65672,4418,12637,13550,13972,-5430,1238,15854,12482,5612,12572,33497,-17863,-12714,-9218,-11744,-8355,9471,18467,18416,19340,19118,62319,-2476,4003,6790,4799,-2551,-8621,-3231,-710,,-1291,39,779,,-9545,-785,-1881,,-6487,2661,2722,
Blank corrected based on Raw Data (400/520 1),49.5,-3769,-6143,5339,-16069,-12982,41849,-9879,-17121,-20670,-12873,-27581,1252,9950,5554,4499,5082,66374,4709,12605,12546,13196,-5942,1897,17620,12455,5540,12560,33761,-17296,-12896,-9642,-11818,-8214,8048,16975,16982,18008,18626,61391,-2549,4114,5677,4777,-2772,-8488,-3259,-1657,,-1277,-546,246,,-8825,-611,-2314,,-6997,1870,2171,
Blank corrected based on Raw Data (400/520 1),51.75,-3229,-6088,5124,-16139,-13434,41046,-9203,-17450,-20703,-13109,-26785,317,9259,4567,3307,3105,64141,4069,11030,12063,11628,-7030,1132,16951,12010,5339,12315,32786,-17770,-13741,-10577,-12741,-9050,8363,17085,16454,18510,16715,60465,-3092,2573,5055,4105,-2370,-7950,-3372,-1005,,-2798,-1469,-712,,-9164,-1628,-2913,,-6786,1729,1936,
Blank corrected based on Raw Data (400/520 1),54,-3992,-6743,4722,-16425,-13660,40722,-9636,-17183,-21543,-13167,-27671,1245,9980,4842,4004,4024,64871,4395,11589,11706,12359,-6578,1935,17624,11996,4661,13545,32435,-18108,-13840,-9764,-12318,-8615,8134,16335,17086,18644,17570,59571,-2624,2942,5108,4685,-2697,-8388,-3469,-2073,,-2679,-999,-274,,-8920,-706,-2047,,-6790,1625,1906,
Blank corrected based on Raw Data (400/520 1),56.25,-3129,-5691,4822,-16083,-13693,41088,-8702,-16525,-20201,-12532,-26911,697,9832,4605,3870,3895,64617,4416,10668,11208,10675,-6947,3089,18302,11913,5510,13791,33169,-17821,-12690,-8815,-12753,-8711,7254,16370,16271,17701,16769,59956,-3423,2489,4958,3455,-2238,-7437,-3345,-994,,-2452,-1493,-706,,-8666,-961,-1694,,-6715,850,2269,
Blank corrected based on Raw Data (400/520 1),58.5,-4271,-7057,4125,-17340,-14083,39887,-10010,-18389,-21721,-14004,-27699,996,9223,4975,4288,3656,63160,3889,10900,11367,11288,-7035,1994,17173,11604,4825,12616,32477,-17660,-14051,-10216,-13100,-9465,8015,16747,16623,18187,16880,59655,-3001,2393,4290,3458,-2921,-8033,-4153,-2682,,-2914,-1681,-423,,-8410,-880,-1674,,-6333,961,1553,
Blank corrected based on Raw Data (400/520 1),60.75,-3664,-5795,5117,-16731,-13255,39413,-8544,-17245,-20982,-12696,-27056,1608,8913,3903,3350,3330,63166,3714,9811,10751,10358,-7864,1446,17497,12409,5658,12649,32404,-18168,-13576,-10002,-13395,-9320,8783,16539,16988,18144,17146,60309,-2048,3049,5002,4695,-2409,-6700,-3152,-958,,-3408,-2119,-342,,-8763,-330,-1247,,-5157,1922,2531,
Blank corrected based on Raw Data (400/520 1),63,-4868,-8222,3448,-17577,-15019,38368,-9335,-18021,-22842,-13970,-28548,1322,9978,5188,4089,3629,63364,4444,10446,10906,10757,-7295,2782,18253,12517,6286,13741,33596,-17884,-12879,-9461,-12499,-8905,8238,16471,16326,18486,17299,61275,-1892,3366,5537,4509,-1131,-7949,-4697,-2653,,-2247,-1275,-394,,-8299,254,-832,,-5589,1990,1800,
Blank corrected based on Raw Data (400/520 1),65.25,-3214,-6975,5356,-16725,-13812,39602,-7825,-16929,-21015,-12769,-26766,1754,9888,4581,3891,3449,63518,5342,10306,10460,11463,-6908,1904,16641,11827,6007,13559,32059,-18323,-13540,-9950,-12635,-9936,8295,16595,17214,18281,17292,60135,-2005,3008,5803,4100,-1453,-6222,-2601,-869,,-2311,-788,-641,,-8569,-378,-1108,,-5527,2046,1515,
Blank corrected based on Raw Data (400/520 1),67.5,-4398,-7943,4691,-17859,-14745,37993,-8327,-17473,-22401,-13416,-27679,743,9724,4465,4124,3083,63140,4936,10448,10578,10964,-7595,2136,16830,11687,5200,12798,32383,-18852,-14242,-11046,-13510,-9705,7382,15025,16147,16726,16288,59217,-2817,2295,4490,3713,-3225,-6436,-3838,-2053,,-2464,-1379,-320,,-9777,17,-1957,,-7686,-7,718,
